Variable,Value
"('CQ2', 1)",0
"('CQ4', 1)",0
"('CQ5', 1)",0
"('TZ1', 1)",1
"('CQ2', 2)",0
"('CQ4', 2)",0
"('CQ5', 2)",0
"('PB1', 2)",1
"('CQ2', 3)",0
"('CQ4', 3)",0
"('CQ5', 3)",0
"('NB1', 3)",1
"('CQ2', 4)",0
"('CQ4', 4)",0
"('CQ5', 4)",0
"('Mos1', 4)",1
"('CQ2', 5)",0
"('CQ4', 5)",0
"('CQ5', 5)",0
"('DB1', 5)",1
"('CQ2', 6)",0
"('CQ4', 6)",0
"('CQ5', 6)",0
"('CI1', 6)",1
"('CQ2', 7)",0
"('CQ4', 7)",0
"('CQ5', 7)",0
"('RB1', 7)",1
"('CQ2', 8)",0
"('CQ4', 8)",0
"('CQ5', 8)",0
"('WB1', 8)",1
"('Bar1', 9)",1
"('Bar2', 9)",0
"('BWB1', 9)",1
"('CQ2', 10)",0
"('CQ4', 10)",0
"('CQ5', 10)",0
"('Mos1', 10)",1
"('CQ2', 11)",0
"('CQ4', 11)",0
"('CQ5', 11)",0
"('Mos1', 11)",1
"('CI1', 'CI1')",1
"('PB1', 'PB1')",1
"('Mos1', 'Mos1')",1
"('TZ1', 'TZ1')",1
"('WB1', 'WB1')",1
"('RB1', 'RB1')",1
"('DB1', 'DB1')",1
"('BSY1', 'BSY1')",1
"('BSY2', 'BSY2')",1
"('BSY3', 'BSY3')",1
"('BSY4', 'BSY4')",1
"('BSY5', 'BSY5')",1
"('BSY6', 'BSY6')",1
"('BWB1', 'BWB1')",1
"('NB1', 'NB1')",1
"('CQ2', 'phi_CQ2')",1
"('CQ4', 'phi_CQ4')",1
"('CQ5', 'phi_CQ5')",1
"('Bar1', 'phi_Bar1')",1
"('Bar2', 'phi_Bar2')",1
"('CQ2', 'cp_CQ2')",1
"('CQ4', 'cp_CQ4')",1
"('CQ5', 'cp_CQ5')",1
"('Bar1', 'cp_Bar1')",1
"('Bar2', 'cp_Bar2')",1
"('BSY1', 'cp_BSY1')",1
"('BSY2', 'cp_BSY2')",1
"('BSY3', 'cp_BSY3')",1
"('BSY4', 'cp_BSY4')",1
"('BSY5', 'cp_BSY5')",1
"('BSY6', 'cp_BSY6')",1
"('CQ2', 'CQ2')",1
"('CQ4', 'CQ4')",1
"('CQ5', 'CQ5')",1
"('Bar1', 'Bar1')",1
"('Bar2', 'Bar2')",1