From/To,Kirribilli,Meadowbank,Cabarita,Woolwich,Barangaroo,Parramatta,Abbotsford,Drummoyne,Watsons Bay,Balmain Shipyard,Cockatoo Island,North Sydney,Old Cremorne,Darling Point,Kissing Point,Balmain East,Kurraba Point,Rose Bay,South Mosman,Birchgrove,Circular Quay,Mosman,Rydalmere,Chiswick,McMahons Point,Huntleys Point,Taronga Zoo,Cremorne Point,Milsons Point,Pyrmont Bay,Balmain ,Garden Is,Double Bay,Blackwattle Bay,Neutral Bay,Syd Olym Pk,Greenwich Point
Kirribilli,0,,,,,,,,,,,2,,,,,4,,,,9,,,,,,,,,,,,,,,,
Meadowbank,,0,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,2,
Cabarita,,,0,13,19,36,4,,32,18,11,,,,3,,,31,,,21,30,17,7,,,27,,,20,,,30,32,,8,
Woolwich,,,13,0,11,47,,,22,9,5,,,,,,,21,,,13,23,28,11,,,20,,,14,,,26,,,19,2
Barangaroo,,,19,11,0,53,,12,20,8,11,,,,,5,,17,,,10,20,34,17,,,17,,,3,,,18,13,,25,
Parramatta,,,36,47,53,0,,,64,52,45,,,,,,,63,,,55,62,19,41,,,59,,,54,,,62,66,,29,
Abbotsford,,,4,,,,0,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
Drummoyne,,,,,12,,,0,,,3,,,,,,,,,,14,,,,,4,,,,,,,,,,,
Watsons Bay,,,32,22,20,64,,,0,21,22,,,,,,,10,,,15,13,45,30,,,10,,,21,,,11,,,38,3
Balmain Shipyard,,,18,9,8,52,,,21,0,9,,,,,,,18,,,12,21,33,16,,,18,,,9,,,19,15,,24,
Cockatoo Island,,,11,5,11,45,,3,22,9,0,2,,,,,,21,2,,13,23,26,9,,,20,,,14,,,26,22,,17,
North Sydney,2,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,2,,
Old Cremorne,,,,,,,,,,,,,0,,,,,,2,,,2,,,,,,,,,,,,,,,
Darling Point,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,6,5,,,,
Kissing Point,,4,3,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Balmain East,,,,,5,,,,,,,,,,,0,,,,,,,,,5,,,,,,,,,,,,
Kurraba Point,4,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,,
Rose Bay,,,31,21,17,63,,,10,18,21,,,,,,,0,,,12,12,44,29,,,9,,,20,,,10,30,,37,
South Mosman,,,,,,,,,,,2,,2,,,,,,0,,,,,,,,,4,,,,,,,,,
Birchgrove,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,2
Circular Quay,9,,21,13,10,55,,14,15,12,13,,,,,,,12,,,0,15,36,19,,,12,9,5,12,11,8,13,23,,27,
Mosman,,,30,23,20,62,,,13,21,23,,2,,,,,12,,,15,0,43,28,,,5,,,22,,,15,,,36,
Rydalmere,,,17,28,34,19,,,45,33,26,,,,,,,44,,,36,43,0,22,,,40,,,35,,,43,,,10,
Chiswick,,,7,11,17,41,3,,30,16,9,,,,,,,29,,,19,28,22,0,,2,25,,,18,,,28,30,,13,
McMahons Point,,,,,,,,,,,,,,,,5,,,,,,,,,0,,,,,,,,,,,,
Huntleys Point,,,,,,,,4,,,,,,,,,,,,,,,,2,,0,,,,,,,,,,,
Taronga Zoo,,,27,20,17,59,,,10,18,20,,,,,,,9,,,12,5,40,25,,,0,2,,19,,,12,,,33,
Cremorne Point,,,,,,,,,,,,,,,,,,,4,,9,,,,,,2,0,,,,,,,,,
Milsons Point,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,0,,,,,,,,
Pyrmont Bay,,,20,14,3,54,,,21,9,14,,,,,,,20,,,12,22,35,18,,,19,,,0,,,19,16,,26,
Balmain ,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,0,,,,,,
Garden Is,,,,,,,,,,,,,,6,,,,,,,8,,,,,,,,,,,0,,,,,
Double Bay,,,30,26,18,62,,,11,19,26,,,5,,,,10,,,13,15,43,28,,,12,,,19,,,0,,,36,
Blackwattle Bay,,,32,,13,66,,,,15,22,,,,,,,30,,,23,,,30,,,,,,16,,,,0,,38,
Neutral Bay,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,0,,
Syd Olym Pk,,2,8,19,25,29,,,38,24,17,,,,,,,37,,,27,36,10,13,,,33,,,26,,,36,38,,0,
Greenwich Point,,,,2,,,,,3,,,,,,,,,,,2,,,,,,,,,,,,,,,,,0