Route_No,,Line_No,O,I,T,dw_I,dw_T,First_sailing,Time_underway_to_I,Time_underway_to_T,Line_duration,rj,
F2,Taronga Zoo only (0ff peak),1,Circular Quay,Taronga Zoo,Circular Quay,10,4,6:35,14,36,40,-0.004409091,
F2,Zoo/Mosman (Peak),2,Circular Quay,Mosman,Circular Quay,10,3,,16,49,52,-0.013041958,被去掉
F4,Pyrmont Bay,3,Circular Quay,Pyrmont Bay,Circular Quay,10,3,6:00,28,65,68,-0.016002674,
F5,Neutral Bay,4,Circular Quay,Neutral Bay,Circular Quay,0,3,5:55,14,27,30,-0.034909091,
F6,Mosman (peak),5,Circular Quay,Mosman,Circular Quay,10,3,,17,48,51,-0.010953654,被去掉
F6,Mosman (off peak),6,Circular Quay,Mosman,Circular Quay,10,3,6:00,21,51,54,-0.012188552,
F7,Double Bay,7,Circular Quay,Double Bay,Circular Quay,10,3,6:15,19,47,50,-0.011890909,
F8,Cockatoo Is,8,Circular Quay,Cockatoo Island,Circular Quay,10,3,6:10,30,69,72,-0.018876263,
F9,Rose Bay (peak),9,Circular Quay,Rose Bay,Circular Quay,10,4,5:55,14,37,41,-0.027572062,
F9,Watsons Bay (off peak),10,Circular Quay,Watsons Bay,Circular Quay,10,4,9:25,25,58,62,-0.039105572,
F10,Blackwattle Bay ,11,Barangaroo,Blackwattle Bay,Barangaroo,10,3,6:26,22,53,56,-0.014172078,