Route_No,Line_No,O,I,T,dw_I,dw_T,Safety_buffer,First_sailing,Time_underway_to_I,Time_underway_to_T,Line_duration,Min_operating_speed,rj
F2,1,Circular Quay,None,Mosman,None,3,4,6:48,None,14.99,18,13,0.041818
F2,2,Mosman,None,Circular Quay,None,3,4.99,7:14,None,14.99,18,13,0.041818
F2,3,Circular Quay,None,Taronga Zoo,None,6,4,8:50,None,12,18,13,0.041818
F2,4,Taronga Zoo,None,Circular Quay,None,4.99,4.99,9:12,None,23,28,13,0.041818
F3,5,Circular Quay,Barangaroo,Parramatta,1,4,4,9:07,9.99,86,90,20,0
F3,6,Circular Quay,Barangaroo,Syd Olym Pk,1,4,4,9:37,9.99,56,60,20,0
F3,7,Chiswick,None,Circular Quay,None,4,5,7:03,None,34,38,20,0
F3,8,Parramatta,Barangaroo,Circular Quay,1,4,4.99,9:38,74.99,86,89.99,20,0
F3,9,Rydalmere,None,Circular Quay,None,4,4.99,6:19,None,55,59,20,0
F3,10,Syd Olym Pk,Barangaroo,Circular Quay,1,4,4.99,8:39,44.99,56,59.99,20,0
F3,11,Syd Olym Pk,None,Barangaroo,None,4,4,5:57,None,47,51,20,0
F4,12,Circular Quay,Barangaroo,Pyrmont Bay,2,2,4,6:10,22,27,29,13,0.041818
F4,13,Pyrmont Bay,Barangaroo,Circular Quay,2,4.99,4,6:19,3,27,32,13,0.041818
F5,14,Circular Quay,None,Circular Quay,None,4.99,4.99,5:57,None,27,32,13,0.041818
F6,15,Circular Quay,None,Mosman,None,4.99,4,6:05,None,22,27,13,0.041818
F6,16,Mosman,None,Circular Quay,None,4.99,4.99,6:24,None,22,27,13,0.041818
F7,17,Circular Quay,None,Double Bay,None,3,4,6:27,None,18,21,13,0.041818
F7,18,Double Bay,None,Circular Quay,None,3,4.99,6:50,None,18,21,13,0.041818
F8,19,Circular Quay,None,Cockatoo Island,None,4.99,4,6:15,None,29,34,13,0.041818
F8,20,Cockatoo Island,None,Circular Quay,None,4,4.99,6:49,None,28,32,13,0.041818
F9,21,Circular Quay,None,Watsons Bay,None,7,4,9:45,None,23,29.99,25,0.106364
F9,22,Watsons Bay,None,Circular Quay,None,7,4.99,10:15,None,13,19.99,25,0.106364
F9,23,Circular Quay,None,Rose Bay,None,7,4,6:05,None,13,19.99,25,0.106364
F9,24,Rose Bay,None,Circular Quay,None,5,4.99,6:25,None,13,18,25,0.106364
F10,25,Barangaroo,None,Blackwattle Bay,None,2,4,6:26,None,13,14.99,13,0.041818
F10,26,Blackwattle Bay,None,Barangaroo,None,2,4,6:41,None,13,14.99,13,0.041818