Vessel,Task,Wharf,Time
V4,Waiting,Bar1,05:35-05:40
V10,Waiting,Bar1,06:10-06:15
V7,Waiting,Bar1,06:10-06:15
V10,Charging,Bar1,06:15-06:20
V7,Charging,Bar1,06:15-06:20
V10,Charging,Bar1,06:20-06:25
V7,Charging,Bar1,06:20-06:25
V7,Waiting,Bar1,06:25-06:30
V10,Charging,Bar1,06:25-06:30
V10,Charging,Bar1,06:30-06:35
V10,Waiting,Bar1,06:35-06:40
V18,9,Bar1,07:05-07:10
V19,9,Bar1,07:35-07:40
V18,9,Bar1,08:05-08:10
V19,9,Bar1,08:35-08:40
V18,9,Bar1,09:05-09:10
V19,9,Bar1,09:35-09:40
V6,Waiting,Bar1,09:40-09:45
V6,Charging,Bar1,09:45-09:50
V6,Charging,Bar1,09:50-09:55
V6,Waiting,Bar1,09:55-10:00
V18,9,Bar1,10:05-10:10
V6,Waiting,Bar1,10:10-10:15
V6,Charging,Bar1,10:15-10:20
V6,Charging,Bar1,10:20-10:25
V6,Charging,Bar1,10:25-10:30
V6,Waiting,Bar1,10:30-10:35