h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19
30,30,30,30,20,20,20,20,30,30,30,30,30,30,30,20,20,30,30
30,30,30,30,20,20,20,20,30,30,30,30,30,30,30,20,20,30,30
30,30,30,30,20,20,20,20,30,30,30,30,30,30,30,20,20,30,30
,,30,30,20,20,20,20,30,30,30,30,30,30,30,20,20,30,30
,,30,30,20,20,20,20,30,30,30,30,30,30,30,20,20,30,30
,,30,30,20,20,20,20,30,30,30,60,60,60,30,20,20,30,30
,,30,30,20,20,20,20,30,30,30,60,60,60,60,20,20,30,30
,,30,30,20,20,20,30,30,30,30,60,60,60,60,20,20,60,60
,,30,30,20,20,20,30,30,30,30,60,60,60,60,20,20,30,30
,,30,30,20,20,30,30,30,30,30,60,60,60,60,20,30,30,30
,,30,30,20,20,30,30,30,30,30,60,60,60,60,20,20,30,30
,,30,30,20,20,30,30,30,30,30,60,60,60,60,30,30,30,30
,,30,30,20,20,30,30,30,30,30,60,60,60,60,30,30,30,30
,,30,30,20,20,30,30,30,30,30,30,30,30,60,30,30,30,30
,,30,30,20,20,30,30,30,30,30,30,30,30,30,30,30,30,30
,,30,30,20,20,30,30,30,30,30,30,30,30,30,30,30,30,30
,,30,30,20,20,30,30,30,30,30,30,30,30,30,30,30,30,30
,,30,30,20,20,30,30,30,30,30,60,60,60,30,30,30,60,60
,,30,30,20,20,30,30,30,30,30,60,60,60,60,30,30,30,30
,,30,30,20,20,30,30,30,30,30,,,60,60,30,30,30,30
,,,,20,20,30,30,30,30,30,,,60,60,30,30,30,30
,,,,20,20,30,30,30,30,30,,,60,60,30,30,30,30
,,,,20,20,30,20,30,30,30,,,,,30,30,30,30
,,,,20,20,30,20,30,30,30,,,,,30,30,30,30
,,,,20,20,20,20,30,30,30,,,,,30,20,30,
,,,,20,20,20,20,30,30,30,,,,,20,20,,
,,,,20,20,20,20,30,60,60,,,,,20,20,,
,,,,20,20,20,20,60,60,60,,,,,20,20,,
,,,,20,20,20,20,60,60,60,,,,,20,20,,
,,,,20,20,20,20,60,60,60,,,,,20,20,,
,,,,20,20,30,20,60,60,60,,,,,20,20,,
,,,,20,20,30,30,,,,,,,,30,30,,
,,,,20,20,30,30,,,,,,,,30,30,,
,,,,20,20,30,30,,,,,,,,30,30,,
,,,,20,20,30,30,,,,,,,,30,30,,
,,,,20,20,30,60,,,,,,,,60,60,,
,,,,20,20,30,60,,,,,,,,60,60,,
,,,,20,20,30,,,,,,,,,60,60,,
,,,,20,20,60,,,,,,,,,,,,
,,,,20,20,,,,,,,,,,,,,
,,,,20,20,,,,,,,,,,,,,
,,,,20,20,,,,,,,,,,,,,
,,,,20,20,,,,,,,,,,,,,
,,,,20,20,,,,,,,,,,,,,
,,,,20,20,,,,,,,,,,,,,
,,,,20,20,,,,,,,,,,,,,
,,,,,20,,,,,,,,,,,,,
,,,,,20,,,,,,,,,,,,,